Species;Horizontal_habitat;Vertical_habitat;Trophic_guild;Trophic_lvel;Lmax;Body_shape;Age_mature;Length_mature;Lifespan;Median_temp;Temp_range;Parental_care;Fecundity;Offspring_szie
Ciliata_spp;Shelf;Demersal;Benthivore;3.5;22.5;Elongated;1;10.95;3.25;12.16475;3.7428;1;15000;0.8
Clupea_harengus;Shelf;Benthopelagic;Planktivore;3.2;45;Fusiform_Normal;2.555555556;21.42;25;9.787;5.187;2;60000;1.5
Conger_conger;Shelf;Reef_associated;Piscivore;4.3;300;Eel_Like;5;50;15;12.919;8.465;1;5500000;2.5
Crystallogobius_linearis;Outer_shelf;Pelagic;Planktivore;3.4;4.7;Elongated;1;3.8;1;12.2835;9.3405;4;3000;1.35
Ctenolabrus_rupestris;Coastal;Reef_associated;Benthivore;3.3;18;Fusiform_Normal;2.5;10.1;9;11.896;2.6738;1;20000;0.9
Cyclopterus_lumpus;Shelf;Benthopelagic;Bentho_piscivore;3.9;61;Short_and_or_Deep;3.25;29.4;13;6.692;6.55;4;100000;2.6
Dicentrarchus_labrax;Shelf;Benthopelagic;Piscivore;3.8;103;Fusiform_Normal;4;31.0625;30;12.4965;5.696;1;433001;1.3
Dipturus_batis;Shelf;Demersal;Piscivore;4;285;Other;9.1;120.6;48.4;11.243;2.886;2;40;170
Echiichthys_vipera;Inner_shelf;Demersal;Bentho_piscivore;4.4;15;Elongated;NA;10;15;11.826;1.8315;1;57600;1.2
Echiodon_drummondii;Slope;Bathydemersal;Piscivore;4;30;Eel_Like;NA;18.5;NA;11.8865;3.4721;1;NA;NA
Enchelyopus_cimbrius;Shelf;Demersal;Benthivore;3.5;41;Elongated;3;15;9;8.309;5.646;1;500000;0.9
Engraulis_encrasicolus;Shelf;Pelagic;Planktivore;3.1;20;Elongated;1;9.406;5;11.519;14.6302;1;16500;1.4
Entelurus_aequoreus;Oceanic_shelf;Pelagic;Planktivore;3.5;40;Eel_Like;2;23.8;8;10.749;2.5452;5;500;13
Etmopterus_spinax;Slope;Bathydemersal;Piscivore;3.8;60;Elongated;NA;33;7;19.2175;15.2928;5;16.5;80
Eutrigla_gurnardus;Shelf;Demersal;Benthivore;3.6;60;Fusiform_Normal;3.333333333;21;6;10.836;2.135;1;244949;1.45
Gadiculus_argenteus;Slope;Pelagic;Planktivore;3.5;15;Fusiform_Normal;1.6;10.2;3;11.56;7.5995;1;2763809.125;1
Gadus_morhua;Shelf;Demersal;Piscivore;4.4;200;Fusiform_Normal;3.642857143;53.2125;25;8.193;6.361;1;1000000;1.43
Gaidropsarus_mediterraneus;Shelf;Demersal;Benthivore;3.4;50;Elongated;1.2;16.1;4.7;12.792;6.0061;1;500000;0.8
Gaidropsarus_spp;Shelf;Demersal;Benthivore;3.35;55;Elongated;1.3;25.1;5.35;12.4135;4.7503;1;500000;0.9
Gaidropsarus_vulgaris;Shelf;Demersal;Benthivore;3.3;60;Elongated;1.4;34.1;6;12.035;3.4945;1;500000;0.8
Galeorhinus_galeus;Shelf;Benthopelagic;Piscivore;4.2;193;Elongated;9.833333333;125;55;15.227;7.094;5;18;300
Galeus_melastomus;Slope;Bathydemersal;Benthopiscivore;4.2;75;Elongated;3.4;41.5;8;15.4625;8.51;2;93;42
Gasterosteus_aculeatus;Coastal;Demersal;Benthivore;3.5;11;Fusiform_Normal;1;5.7;8;8.122;6.6077;4;86;1.3
Glyptocephalus_cynoglossus;Shelf;Demersal;Benthivore;3.1;60;Short_and_or_Deep;4;25;25;7.981;6.216;1;100000;1.2
Gobius;Coastal_and_Inner_Shelf;Demersal;Benthivore;3.1;10.5;Fusiform_Normal;1.4;10.6;7.5;15.263;8.2144;3;2650;1.3
Helicolenus_dactylopterus;Slope;Bathydemersal;Bentho_piscivore;3.8;47;Fusiform_Normal;15;18.1;43;16.83;9.497;5;35748;2.8
Hippocampus_hippocampus;Coastal;Demersal;Planktivore;3.2;15;Other;0.33;10;1.3;14.696;10.587;5;338;8
Hippoglossoides_platessoides;Shelf;Demersal;Bentho_piscivore;3.7;82.6;Short_and_or_Deep;3;19.66666667;30;7.455;6.429;1;380000;2.5
Hyperoplus_lanceolatus;Inner_shelf;Benthopelagic;Piscivore;4.2;40;Elongated;2;11;7;11.256;2.1193;2;35000;0.8
Labrus_bergylta;Coastal;Reef_associated;Benthivore;3.1;65.9;Fusiform_Normal;6;16;29;11.902;2.603;4;1000;1
Lampetra_fluviatilis;Coastal;Demersal;Ectoparasite;4.5;50;Eel_Like;4.75;25.75;10;11.031;5.8228;3;NA;NA
Lepidorhombus_whiffiagonis;Outer_shelf;Demersal;Piscivore;4.2;60;Fusiform_Normal;1;32.5;15;11.424;3.85;1;500000;1.1
Leptoclinus_maculatus;Shelf;Demersal;Benthivore;3.3;20;Elongated;6;12.9;13;5.952;6.4583;1;1000;1.5
Lesueurigobius_friesii;Shelf;Demersal;Benthivore;3.2;13;Fusiform_Normal;1.3;4.5;3.9;12.366;9.2894;4;6500;1.8
Leucoraja_circularis;Outer_shelf;Demersal;Piscivore;3.5;120;Other;4.6;62.9;22.2;12.746;8.8291;2;63;60
Leucoraja_fullonica;Outer_shelf;Demersal;Piscivore;3.5;120;Other;4.6;62.9;22;13.218;3.7576;2;63;65
Leucoraja_naevus;Shelf;Demersal;Piscivore;3.9;71;Other;8.5;60;14;11.286;4.528;2;63;50
Limanda_limanda;Shelf;Demersal;Benthivore;3.3;40;Short_and_or_Deep;2.32;14.96;12;10.859;2.149;1;150000;1
Liparis_liparis;Inner_shelf;Demersal;Benthivore;3.6;15;Elongated;1.2;10;4.1;11.1895;5.67;2;500;1.5
Liparis_montagui;Inner_shelf;Demersal;Benthivore;3.5;12;Elongated;1;8.2;3.4;10.9615;3.608;2;700;1.1
Liza_ramada;Coastal;Pelagic;Detritivore;2.2;70;Fusiform_Normal;3;24.66666667;10;17.4675;8.1572;1;300000;0.5
Lophius_budegassa;Outer_shelf;Bathydemersal;Piscivore;4.5;100;Fusiform_Normal;7;42.725;21;14.141;8.174;1;200000;1.8
Lophius_piscatorius;Shelf;Demersal;Piscivore;4.4;200;Short_and_or_Deep;10;53.84;24;11.099;8.9523;1;1500000;2.7
Lumpenus_lampretaeformis;Shelf;Demersal;Benthivore;3.6;50;Eel_Like;3.2;26.8;13.6;7.329;6.199;4;700;0.8
Lycodes;Outer_shelf;Demersal;Benthivore;3.4;63.5;Eel_Like;5.1;35.75;22.55;5.70875;6.13995;2;NA;NA
Lycodes_esmarkii;Outer_shelf;Demersal;Benthivore;3.4;75;Eel_Like;5.8;41.5;26.1;5.8575;6.1903;2;NA;NA
lycodes_vahlii;Outer_shelf;Demersal;Benthivore;3.4;52;Eel_Like;4.4;30;19;5.56;6.0896;2;254;5
Maurolicus_muelleri;Slope;Bathypelagic;Planktivore;3;8;Elongated;0.9;3.5;2.6;14.792;9.6084;1;8354;1.6
Melanogrammus_aeglefinus;Shelf;Demersal;Benthivore;4.1;112;Fusiform_Normal;3;27;20;9.977;3.3837;1;9000000;1.5
Merlangius_merlangus;Shelf;Demersal;Piscivore;4.4;70;Fusiform_Normal;1.75;28;20;10.786;2.0826;1;400000;1.28
Merluccius_merluccius;Shelf;Demersal;Piscivore;4.4;140;Elongated;4.291666667;32.69090909;20;11.6915;9.4297;1;126035;1
Microchirus_variegatus;Shelf;Demersal;Benthivore;3.3;35;Fusiform_Normal;3;14;14;12.566;3.8851;1;500000;1.3
Micromesistius_poutassou;Slope;Mesopelagic;Planktivore;4;50;Elongated;2;18.7;20;12.106;7.2858;1;122000;1.1
Microstomus_kitt;Shelf;Demersal;Benthivore;3.3;65;Short_and_or_Deep;3;20;23;10.763;2.17;1;200000;1.2
Molva_dypterygia;Slope;Demersal;Piscivore;4.5;155;Elongated;5.3;79.7;26.3;13.912;9.338;1;2000000;1
Molva_molva;Slope;Demersal;Piscivore;4.3;200;Elongated;5;85;25;10.46;2.171;1;2000000;1
Mullus_surmuletus;Inner_shelf;Demersal;Benthivore;3.4;40;Fusiform_Normal;1.333333333;13.32;11;12.696;9.405;1;10000;0.85
Musteulus;Shelf;Demersal;Carcinophage;3.75;170;Elongated;5.575;78.25;21;15.7335;8.18845;5;9;345
Myoxocephalus_scorpius;Inner_shelf;Demersal;Bentho_piscivore;3.9;60;Fusiform_Normal;2;14.5;15;7.149;7.7339;4;10000;2.04
Myxine_glutinosa;Shelf;Demersal;Scavenger;3.5;80;Eel_Like;NA;25;NA;7.518;5.638;2;30;20
Nerophis_ophidion;Coastal;Demersal;Planktivore;4;29;Eel_Like;0.7;17.9;2.7;9.7365;5.7846;5;250;13
Osmerus_eperlanus;Coastal;Pelagic;Benthivore;3.1;45;Elongated;2;22.1;10;9.976;4.3848;2;20000;0.75
Petromyzon_marinus;Shelf;Demersal;Ectoparasite;4.4;120;Eel_Like;7;62.9;11;10.749;8.4992;3;214960;0.9
Pholis_gunnellus;Inner_shelf;Demersal;Benthivore;3.5;25;Eel_Like;1;12.8;5;10.284;4.351;4;100;2
Phrynorhombus_norvegicus;Shelf;Demersal;Bentho_piscivore;4;12;Short_and_or_Deep;1.3;8.2;4.5;11.321;2.8944;1;NA;0.8
Phycis_blennoides;Outer_shelf;Demersal;Bentho_piscivore;3.7;110;Fusiform_Normal;3;25.5;20;15.544;8.123;1;1643889;0.6
Platichthys_flesus;Coastal;Demersal;Benthivore;3.2;60;Short_and_or_Deep;2.933333333;25;15;10.133;2.753;1;1000000;1.06
Pleuronectes_platessa;Shelf;Demersal;Benthivore;3.3;100;Short_and_or_Deep;3.25;28.92307692;50;10.953;2.413;1;552000;1.8
Pollachius_pollachius;Shelf;Demersal;Piscivore;4.2;130;Fusiform_Normal;3.5;45.4;16;11.696;2.695;1;323230;1.15
Pollachius_virens;Shelf;Demersal;Piscivore;4.4;130;Fusiform_Normal;4.166666667;52.7;25;9.128;3.661;1;2900000;1.1
Pomatoschistus;NA;NA;NA;32.4;8.4;Fusiform_Normal;1.34;5.9;4.32;12.0072;3.17884;4;2176;0.9
Pomatoschistus_lozanoi;Inner_shelf;Demersal;Benthivore;31;8;Fusiform_Normal;1;5.8;3.1;12.275;0.678;NA;NA;NA
Pomatoschistus_microps;Inner_shelf;Demersal;Benthivore;33;9;Fusiform_Normal;2.8;7.3;9.3;12.058;6.486;NA;NA;NA
Pomatoschistus_minutus;Inner_shelf;Demersal;Benthivore;32;11;Fusiform_Normal;0.9;6.1;3;11.779;2.7272;NA;NA;NA
Pomatoschistus_norvegicus;Outer_shelf;Demersal;Benthivore;35;8;Fusiform_Normal;1.1;5.8;3.5;12.699;3.2402;NA;NA;NA
Pomatoschistus_pictus;Inner_shelf;Demersal;Benthivore;31;6;Fusiform_Normal;0.9;4.5;2.7;11.225;2.7628;NA;NA;NA
Raja_brachyura;Inner_shelf;Demersal;Piscivore;4;120;Other;3.2;60.6;15.2;11.952;1.8344;2;52;90
Raja_clavata;Inner_shelf;Demersal;Bentho_piscivore;3.8;105;Other;5.9;47.25;15;12.281;8.5875;2;94;65
Raja_montagui;Inner_shelf;Demersal;Bentho_piscivore;3.7;80;Other;4.1;51.2;19.2;11.6175;2.2256;2;38;60
Raja_undulata;Inner_shelf;Demersal;Bentho_piscivore;3.5;100;Other;4;59;19.2;12.5665;7.1805;2;63;70
Rajella_lintea;Slope;Demersal;Benthivore;3.5;123;Other;5;64.3;24;NA;0;2;40;150
Raniceps_raninus;Inner_shelf;Demersal;Benthivore;3.8;27.5;Fusiform_Normal;1.8;18.5;7.1;10.61;3.196;1;NA;NA
Salmo;Inner_Shelf;Pelagic;Piscivore;3.8;145;Fusiform_Normal;1.911363636;55.6275;9.85;8.782;4.4818;2.5;1100;5.65
Salmo_salar;Inner_shelf;Pelagic;Piscivore;4.4;150;Fusiform_Normal;1.4;61.5;6.6;8.422;4.9646;3;2000;5.3
Salmo_trutta;Inner_shelf;Pelagic;Piscivore;3.2;140;Fusiform_Normal;2.422727273;49.755;13.1;9.142;3.999;2;200;6
Sardina_pilchardus;Shelf;Pelagic;Planktivore;2.6;27.5;Fusiform_Normal;2;13.42857143;15;18.791;8.616;1;156525;1.3
Scomber_scombrus;Shelf;Pelagic;Piscivore;3.7;60;Fusiform_Normal;1.75;30;17;10.928;7.2934;1;553700;1.3
Scomberesox_saurus;Oceanic;Epipelagic;Planktivore;3.6;50;Elongated;1;21.1;4;9.424;11.4054;1;NA;NA
Scophthalmus_maximus;Shelf;Demersal;Piscivore;4;100;Short_and_or_Deep;3;44.66666667;25;10.407;2.5979;1;5000000;1
Scophthalmus_rhombus;Shelf;Demersal;Piscivore;3.8;75;Short_and_or_Deep;5;37;6;11.331;2.4252;1;5000000;1.3
Scorpaena_scrofa;Slope;Bathydemersal;Piscivore;4.3;50;Fusiform_Normal;8.2;31.6;25;19.546;8.1242;1;247407;0.88
Scyliorhinus_canicula;Inner_shelf;Demersal;Benthopiscivore;3.7;100;Elongated;3;48.4;12;11.883;5.391;2;66;80
Scyliorhinus_stellaris;Inner_shelf;Reef_associated;Piscivore;4;170;Elongated;3.9;85.6;19;12.475;16.047;2;2;160
Sebastes_viviparus;Slope;Demersal;Piscivore;4;35;Fusiform_Normal;10;20.9;40.5;10.3735;0.9461;5;20000;5.5
Solea_solea;Inner_shelf;Demersal;Benthivore;3.1;70;Short_and_or_Deep;2.75;30.3;26;11.731;2.461;1;300000;1.2
Spinachia_spinachia;Coastal;Demersal;Benthivore;3.5;22;Elongated;1;14.1;1.5;10.269;3.301;2;NA;NA
Spondyliosoma_cantharus;Inner_shelf;Demersal;Benthivore;3.3;60;Short_and_or_Deep;2.4;20.5;9.5;14.448;8.8283;3;72895;1.1
Sprattus_sprattus;Shelf;Pelagic;Planktivore;3;16;Fusiform_Normal;1.5;9.45;6;10.683;2.139;1;10000;1.2
Squalus_acanthias;Shelf;Benthopelagic;Piscivore;4.3;160;Elongated;8.75;67.33333333;75;11.32;7.549;5;4;150
Symphodus_melops;Coastal;Reef_associated;Benthivore;3.2;28;Fusiform_Normal;2;11.66666667;9;12.132;2.7814;2;NA;NA
Syngnathus_spp;Coastal;Demersal;Planktivore;3.8;34;Eel_Like;1.233333333;11.5;4.7;11.269;7.022666667;5;65;13
Trachinus_draco;Inner_shelf;Demersal;Bentho_piscivore;4.2;53;Fusiform_Normal;NA;30.6;14;12.59;9.393;1;57600;1
Trachurus_trachurus;Shelf;Pelagic;Piscivore;3.6;70;Fusiform_Normal;2.7;23.55555556;20.4;12.169;8.8766;1;400000;1
Trigla_lyra;Outer_shelf;Bathydemersal;Benthivore;3.5;60;Fusiform_Normal;NA;22;7;19.676;9.884;1;108000;1.4
Trigloporus_lastoviza;Shelf;Demersal;Benthivore;3.4;40;Fusiform_Normal;1.1;21.3;4.4;19.1705;13.669;1;13000;1.35
Triglops;Outer_shelf;Demersal;Benthivore;3.5;20;Elongated;4.5;12.9;16.5;7.3;5.224;1;300;2.2
Triglops_murrayi;Outer_shelf;Demersal;Benthivore;3.5;20;Elongated;4.5;12.9;16.5;7.3;5.224;1;300;2.2
Trisopterus_esmarkii;Outer_shelf;Benthopelagic;Bentho_piscivore;3.2;35;Fusiform_Normal;1;12.75;5;10.418;1.6167;1;220000;1.1
Trisopterus_luscus;Inner_shelf;Demersal;Benthivore;3.7;46;Fusiform_Normal;1;21;4;12.307;1.889;1;416475;1.1
Trisopterus_minutus;Shelf;Demersal;Benthivore;3.8;40;Fusiform_Normal;1;11.5;5;11.394;2.815;1;10000;1
Zeugopterus;Shelf;Demersal;Bentho_piscivore;3.685;22.5;Short_and_or_Deep;2.05;12.2;7.6;11.56;2.8762;1;NA;NA
Zeugopterus_punctatus;Shelf;Demersal;Bentho_piscivore;4;25;Short_and_or_Deep;2.4;11.5;9.1;11.56;2.8762;1;NA;1
Zeugopterus_regius;Shelf;Demersal;Bentho_piscivore;3.37;20;Short_and_or_Deep;1.7;12.9;6.1;12.635;2.5588;1;NA;NA
Zeus_faber;Shelf;Benthopelagic;Piscivore;4.5;90;Short_and_or_Deep;3;25;12;17.111;9.3276;1;30000;2
Zoarces_viviparus;Inner_shelf;Demersal;Benthivore;3.5;52;Elongated;2;16;10;9.914;2.7722;5;100;45
